index,values,weights
599,116,7
600,141,57
601,140,59
602,72,133
603,106,124
604,154,45
605,120,42
606,14,97
607,95,10
608,119,14
609,37,9
610,94,72
611,135,93
612,74,46
613,41,96
614,86,10
615,103,134
616,87,1
617,20,56
618,68,123
619,92,109
620,120,51
621,19,128
622,84,141
623,29,44
624,94,65
625,86,119
626,144,71
627,150,131
628,134,71
629,97,78
630,109,61
631,50,88
632,159,84
633,29,153
634,69,101
635,30,25
636,5,147
637,69,85
638,115,106
639,134,112
640,1,18
641,139,71
642,128,154
643,142,15
644,141,15
645,60,95
646,67,20
647,59,4
648,151,154
649,138,135
650,155,84
651,22,146
652,48,10
653,49,142
654,76,134
655,4,45
656,19,53
657,110,59
658,150,107
659,80,13
660,53,139
661,69,66
662,121,119
663,44,46
664,21,31
665,149,85
666,55,133
667,118,32
668,122,143
669,44,7
670,38,147
671,100,33
672,1,112
673,64,124
674,119,29
675,20,76
676,87,21
677,63,128
678,110,105
679,131,143
680,9,142
681,106,96
682,87,141
683,117,140
684,106,50
685,29,67
686,33,105
687,93,152
688,105,101
689,134,35
690,151,135
691,27,141
692,14,122
693,148,48
694,44,23
695,10,4
696,157,37
697,41,81
698,110,8
699,78,115
700,36,86
701,124,150
702,3,53
703,158,51
704,138,48
705,48,138
706,104,10
707,157,93
708,57,21
709,72,104
710,60,111
711,117,160
712,92,127
713,142,48
714,135,16
715,1,127
716,90,20
717,28,105
718,48,50
719,97,96
720,106,46
721,125,81
722,58,145
723,7,137
724,93,116
725,142,93
726,111,127
727,115,124
728,147,46
729,68,143
730,41,160
731,86,26
732,148,81
733,134,53
734,93,51
735,114,66
736,140,33
737,101,151
738,39,8
739,18,5
740,74,91
741,60,36
742,89,77
743,101,31
744,4,139
745,65,122
746,81,91
747,122,48
748,111,30
749,26,14
750,73,24
751,70,158
752,72,53
753,106,98
754,95,131
755,122,90
756,88,77
757,81,133
758,115,67
759,65,3
760,113,77
761,51,42
762,156,120
763,52,2
764,89,6
765,160,31
766,134,131
767,54,108
768,107,62
769,38,5
770,94,143
771,38,42
772,157,116
773,42,88
774,11,11
775,139,91
776,51,89
777,40,143
778,59,68
779,65,81
780,20,79
781,31,76
782,87,113
783,109,52
784,11,48
785,59,133
786,75,100
787,148,122
788,160,53
789,147,27
790,27,40
791,119,146
792,101,6
793,105,78
794,80,6
795,19,133
796,74,146
797,118,66
798,64,159
799,123,97
800,49,72
801,56,105
802,120,57
803,29,2
804,68,126
805,47,70
806,102,156
807,35,143
808,30,62
809,23,29
810,5,76
811,14,127
812,53,61
813,108,43
814,70,62
815,139,116
816,109,136
817,62,56
818,85,153
819,14,125
820,55,135
821,10,3
822,27,121
823,77,28
824,125,147
825,15,107
826,102,71
827,148,138
828,58,103
829,134,119
830,1,137
831,20,63
832,145,120
833,15,62
834,101,82
835,100,85
836,49,149
837,99,143
838,16,138
839,87,64
840,129,117
841,61,57
842,21,158
843,112,25
844,153,130
845,20,70
846,60,67
847,25,62
848,76,86
849,129,89
850,51,72
851,40,92
852,73,4
853,111,117
854,69,106
855,118,12
856,23,52
857,7,89
858,91,79
859,143,98
860,28,26
861,97,63
862,36,145
863,60,56
864,158,110
865,35,60
866,104,129
867,129,67
868,94,15
869,19,100
870,84,17
871,31,123
872,147,157
873,64,151
874,46,160
875,32,77
876,37,32
877,142,141
878,90,109
879,125,97
880,79,138
881,14,75
882,73,5
883,100,19
884,135,146
885,154,131
886,149,75
887,41,73
888,33,90
889,108,5
890,63,77
891,102,122
892,144,82
893,105,109
894,90,92
895,84,53
896,41,7
897,133,62
898,6,121
899,143,66
900,35,160
901,112,129
902,5,27
903,123,146
904,61,43
905,160,35
906,32,18
907,139,51
908,57,44
909,3,39
910,98,75
911,57,139
912,36,155
913,81,5
914,125,87
915,157,11
916,137,39
917,134,56
918,86,54
919,84,33
920,126,64
921,52,44
922,3,81
923,47,17
924,93,119
925,27,23
926,15,21
927,116,40
928,118,119
929,133,18
930,128,152
931,1,45
932,110,71
933,117,25
934,32,27
935,154,21
936,24,62
937,92,60
938,63,134
939,9,17
940,135,28
941,115,130
942,3,157
943,82,101
944,117,104
945,138,114
946,55,107
947,43,110
948,76,68
949,98,95
950,7,5
951,66,96
952,127,22
953,64,75
954,103,133
955,65,136
956,127,93
957,78,39
958,30,22
959,92,77
960,14,158
961,87,99
962,84,152
963,160,144
964,129,101
965,118,95
966,1,149
967,110,124
968,128,130
969,11,128
970,3,147
971,90,129
972,114,155
973,156,72
974,36,38
975,43,103
976,3,1
977,111,79
978,95,54
979,6,150
980,20,42
981,53,48
982,60,102
983,155,62
984,30,124
985,86,10
986,80,21
987,137,25
988,132,84
989,107,3
990,93,62
991,7,60
992,139,38
993,30,22
994,36,17
995,106,15
996,160,7
997,49,86
998,3,21
999,74,55
