index,values,weights
670,135,129
671,155,32
672,112,96
673,119,91
674,20,88
675,94,76
676,4,130
677,27,127
678,50,83
679,160,77
680,37,119
681,142,158
682,45,103
683,9,136
684,17,159
685,81,57
686,120,40
687,69,112
688,86,117
689,117,136
690,17,91
691,40,138
692,43,69
693,124,117
694,55,51
695,136,47
696,7,46
697,110,7
698,89,159
699,68,94
