index,values,weights
503,49,88
504,137,67
505,159,36
506,22,14
507,12,153
508,93,134
509,34,126
510,92,27
511,70,112
512,153,52
513,33,119
514,100,21
515,24,73
516,14,62
517,123,6
518,46,49
519,18,84
520,49,14
521,16,91
522,120,105
523,10,95
524,114,36
525,44,159
526,159,16
527,111,3
528,100,102
529,81,22
530,26,121
531,131,93
532,138,37
533,63,33
534,156,79
535,155,113
536,155,134
537,115,29
538,23,92
539,125,26
540,60,40
541,51,96
542,109,34
543,133,2
544,130,2
545,69,157
546,125,136
547,137,144
548,142,66
549,99,80
550,104,106
551,8,55
552,74,160
553,27,102
554,81,30
555,80,118
556,16,148
557,84,86
558,68,39
559,61,149
560,109,41
561,60,132
562,62,105
563,103,155
564,33,18
565,13,128
566,28,5
567,97,157
568,24,65
569,126,127
570,15,144
571,27,35
572,135,78
573,7,147
574,42,70
575,26,20
576,53,3
577,24,12
578,150,156
579,34,111
580,94,34
581,156,144
582,92,28
583,63,155
584,124,6
585,124,126
586,114,111
587,25,34
588,21,122
589,60,106
590,135,66
591,81,89
592,80,139
593,12,94
594,81,51
595,103,71
596,143,84
597,47,150
598,52,95
599,87,30
600,147,20
601,74,61
602,108,19
603,7,135
604,20,62
605,62,152
606,93,11
607,32,16
608,119,40
609,83,114
610,128,41
611,69,29
612,123,7
613,50,88
614,73,126
615,60,153
616,120,38
617,127,53
618,68,8
619,22,37
620,16,100
621,37,106
622,134,32
623,32,59
624,124,113
625,69,20
626,15,107
627,114,63
628,132,97
629,24,75
630,99,39
631,103,150
632,90,110
633,149,137
634,140,67
635,40,72
636,89,97
637,124,154
638,71,160
639,77,155
640,62,41
641,154,8
642,94,147
643,3,132
644,42,1
645,23,75
646,128,62
647,19,49
648,51,32
649,128,71
650,26,30
651,110,33
652,120,108
653,72,10
654,142,59
655,44,157
656,115,16
657,102,145
658,115,6
659,78,139
660,80,47
661,21,118
662,160,11
663,72,10
664,156,123
665,92,109
666,26,104
667,119,50
668,152,30
669,3,99
670,157,96
671,76,124
672,31,42
673,6,130
674,51,42
675,156,111
676,143,72
677,54,139
678,132,104
679,84,152
680,76,29
681,33,3
682,72,37
683,117,117
684,150,68
685,151,136
686,58,79
687,20,149
688,63,140
689,14,122
690,113,71
691,146,88
692,4,75
693,123,7
694,113,75
695,121,6
696,101,83
697,93,68
698,99,137
699,4,63
700,11,111
701,67,82
702,82,76
703,62,64
704,158,42
705,90,97
706,35,8
707,139,19
708,106,124
709,125,59
710,14,46
711,146,145
712,16,131
713,143,155
714,156,145
715,122,121
716,49,113
717,51,30
718,160,3
719,13,8
720,112,50
721,94,138
722,107,84
723,133,101
724,159,120
725,68,137
726,127,66
727,71,66
728,33,155
729,4,121
730,12,31
731,150,96
732,91,16
733,121,115
734,24,138
735,155,148
736,15,152
737,122,81
738,138,18
739,7,78
740,127,68
741,151,103
742,100,152
743,60,149
744,73,17
745,60,26
746,119,42
747,124,138
748,76,66
749,119,119
750,135,19
751,72,3
752,6,53
753,142,31
754,51,112
755,129,136
756,116,85
757,93,59
758,9,15
759,72,157
760,10,24
761,74,157
762,56,137
763,81,85
764,15,55
765,76,100
766,39,98
767,157,150
768,100,9
769,4,64
770,89,139
771,25,82
772,138,85
773,89,21
774,67,116
775,121,21
776,15,107
777,24,105
778,86,116
779,43,62
780,31,40
781,6,55
782,126,95
783,18,65
784,145,112
785,75,11
786,156,78
787,128,88
788,138,96
789,16,127
790,49,53
791,91,42
792,62,62
793,35,67
794,92,104
795,144,49
796,106,74
797,106,24
798,125,154
799,10,64
800,89,39
801,140,142
802,121,42
803,77,85
804,141,75
805,84,101
806,71,98
807,150,107
808,85,111
809,154,45
810,121,92
811,94,72
812,141,81
813,152,110
814,1,24
815,46,101
816,112,147
817,41,115
818,51,124
819,70,90
820,108,37
821,111,8
822,40,18
823,82,123
824,47,113
825,145,58
826,53,149
827,137,49
828,28,12
829,11,11
830,109,111
831,14,76
832,107,128
833,86,150
834,86,104
835,61,95
836,140,156
837,105,141
838,156,65
839,131,61
840,72,136
841,26,90
842,114,45
843,75,53
844,95,59
845,128,50
846,144,136
847,111,148
848,4,125
849,117,22
850,5,48
851,82,67
852,45,118
853,107,21
854,18,65
855,111,136
856,27,17
857,100,57
858,56,22
859,115,117
860,46,25
861,78,155
862,66,93
863,59,1
864,4,7
865,11,48
866,129,83
867,89,133
868,36,131
869,125,121
870,77,15
871,70,102
872,11,87
873,51,39
874,106,99
875,55,47
876,120,34
877,144,146
878,117,14
879,115,107
880,143,82
881,68,108
882,73,54
883,90,131
884,77,86
885,118,114
886,27,61
887,48,40
888,55,121
889,126,147
890,62,116
891,5,22
892,6,26
893,77,130
894,106,42
895,57,65
896,153,12
897,8,67
898,146,37
899,6,8
